request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_with_plan,installments,2025-08-03:15656000,2025-08-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_28,689.4,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_29,51524,affordable_with_plan,installments,2025-11-04:51524,2025-11-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_30,775.2,affordable_with_plan,installments,2026-04-06:775.2,2026-04-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_31,13840360,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_32,33305.8,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_33,65180,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_35,125130,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_36,1446.6,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_37,12068800,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_38,379.4,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_39,203105,affordable_later,wait,2026-04-15:208600,2026-04-15,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_40,851,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_41,21888950,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_43,13988750,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_44,74560,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_45,8833100,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_46,49450,affordable_with_plan,installments,2024-12-03:49450,2024-12-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
